ID,TITLE,ADDRESS,PHONE,FAX,EMAIL,TOLL_FREE,URL,DESCRIPTION,AREA,LONGITUDE,LATITUDE
1,Admiral Inn Hamilton,"149 Dundurn Street, Hamilton, L8R 3E7",905-529-2311,,hamilton@admiralinn.com,905-529-2311,www.admiralinn.com,The Award Winning Admiral Inn Hamilton has been newly renovated for your comfort and convenience. Minutes away from downtown Hamilton and a hidden gem of the city! Stay & Dine at our famous Reflections restaurant on site. The following is always included in your stay: Complimentary Ample Parking Complimentary Wireless high-Speed Internet Access Complimentary Local Calls,Accommodations,-79.8858802000,43.2678285000
2,Best Western Premier C Hotel by Carmen's,"1530 Stone Church Road E, Hamilton, L8W 3P9",905-381-9898,,info@carmenshotel.com,905-381-9898,http://www.carmenshotel.com/,"European boutique style and luxury. A fusion of design and comfort, simplicity and sophistication. Embrace luxury as you step inside the chic lobby of the boutique C Hotel by Carmen's. We break down the walls that separate leisure and business travel so you can find the right balance between work and play.",Accommodations,-79.8231425000,43.1939237000
3,Caboose Farm Stay,"1468 #8 Highway, Winona, L8E 5K9",905-643-1015,,info@puddicombefarms.com,905-643-1015,www.puddicombefarms.com,"Looking for that unusual holiday? Then come on board Caboose One, a fun relaxing holiday on our farm. Enjoy the view and walk through the vineyards & orchards",Accommodations,-79.6324919000,43.2059009000
4,Comfort Inn Hamilton,"183 Centennial Parkway North, Hamilton, L8E 1H8",905-560-4500,,cn268@whg.com,905-560-4500,www.choicehotels.ca,"Conveniently located near the Q.E.W. Highway between Toronto and Niagara Falls. Closely situated to all area attractions, restaurants and shopping.",Accommodations,-79.7620911000,43.2349745000
5,Cottage in the City,"918 West 5th St., Hamilton L9C 3R7",905-389-5067,,,905-389-5067,www.bbcanada.com/8212.html,"Comfortable setting. Close to the John C. Munro Hamilton International Airport. Air conditioning, reasonable rates and access to refrigerator. Coffee/tea corner.",Accommodations,-79.8927162000,43.2153871000
6,Courtyard by Marriott,"1224 Upper James St., Hamilton, L9C 3B1",905-383-7772,,,905-383-7772,http://www.courtyardhamilton.com,"Conveniently located 15 minutes of the Hamilton International Airport (YHM) and 20 minutes to downtown Hamilton. The Courtyard by Marriott Hamilton hotel surrounds travellers with the amenities that make business and pleasure travel effortless. Relax in comfort in one of our beautifully appointed guest rooms with mini-refrigerator and free high speed internet. Unwind in our Indoor Pool, Whirlpool or Fitness Centre. The hotel is close to businesses, dining, shopping and entertainment.",Accommodations,-79.8891297000,43.2155643000
7,Crowne Plaza Hamilton,"150 King Street East, Hamilton, L8N 1B2",905-528-3451,,info@cphamilton.com,905-528-3451,http://www.crowneplaza.com,"Newly unveiled 214 guestroom luxury property in downtown Hamilton. Facilities include on-site restaurant, fitness centre, pool and adjacent newly opened state-of-the-art Lincoln Alexander Conference Centre.",Accommodations,-79.8650453000,43.2550421000
8,Days Inn Hamilton,"210 Main Street East, Hamilton, L8N 1H3",905-528-3297,,info@hamiltondaysinn.com,905-528-3297,http://hamiltondaysinn.com,"Newly built in 2008 and conveniently located in the heart of downtown Hamilton, this exceptional hotel attracts many corporate clients and personal travelers alike. To enhance your comfort, choose from queen-size or king-size beds, some with Jacuzzi. All rooms have flat LCD-TV, free parking, deluxe Continental breakfast and internet. Located close to most local hospitals, Art Gallery of Hamilton, Copps Coliseum, Hamilton Convention Centre, museums, diverse dining and shopping options, your stay at Days Inn Hamilton will be an excellent choice and experience.",Accommodations,-79.8614654000,43.2529540000
9,Duck Tail Inn B&B,"1573 Butter Road West, Ancaster, L9G 3L1",905-648-3596,,dwentworth@Sympatico.ca,905-648-3596,www.ducktail.net,Ducktail B&B is a modern air conditioned one floor home located on 44 acres. Picture windows overlook rolling fields and a sunroom with wicker furniture overlooks a duck pond.,Accommodations,-80.0462046000,43.1544012000
10,Dundas Glen Bed and Breakfast,"271 Hatt Street, Dundas, L9H 2H4",289-238-8193,,info@dundasglen.ca,289-238-8193,www.dundasglen.ca,"Welcome to Dundas Glen, a Bed and Brakfast in a beautiful century home in the picturesque and historic Valley Town of Dundas, Ontario.  We are just a short walk from charming downtown Dundas, full of boutique shopping and fine dining.  Restaurants cater to the gourmet in your family or simply a fun pub experience.",Accommodations,-79.9667375000,43.2680704000
11,Emerald Lake Trailer Resort & Waterpark,"7248 Gore Rd. RR#2, Puslinch, N0B 2J0",905-659-7923,,emeraldlake@bellnet.ca,905-659-7923,www.emeraldlake.ca,"Beautiful seasonal transient camping with all modern, clean facilities. Centrally located just minutes from Hamilton, Dundas, Burlington, Cambridge, Guelph the 401 403.",Accommodations,-80.1292347000,43.4124828000
12,Fifty Point Conservation Area and Campground,"1479 Baseline Rd., Winona",905-525-2187,,fiftypt@conservationhamilton.ca,905-525-2187,www.conservationhamilton.ca,"A magnificent 80-hectare park with superb marina facilities in Stoney Creek. It's the place to be for a swim in Lake Ontario, family camping or a picnic for groups of any size.",Accommodations,-79.6294284000,43.2168743000
13,Flamboro Valley Camping Resort,"1158 Regional Rd 97, Flamborough, N0B 2J0",905-659-5053,,info@flamborovalley.com,905-659-5053,www.flamborovalley.com,"Located in a peaceful setting just North of Hamilton and South of Guelph. Seasonal and Overnight Camping sites. Tenting and Large Rigs pull thru sites(WE + WES). Hot Tub, Splash Park,Heated Swimming Pool, Pirate Ship, 2 Playgrounds,Walking trails, Activities,Basketball Courts + more.",Accommodations,-80.0756289000,43.3900396000
14,Gulliver's Lake & Park,"792 Safari Road, Millgrove, L0R 1V0",905-659-7300,,GULLIVERSLAKE@CAREFREERVRESORTS.COM,905-659-7300,www.gulliverslake.com,"Park in restful, wooded surroundings. Enjoy our lake's seclusion and carefree living. Swim in the cleanest waters found in Southern Ontario!",Accommodations,-80.0214763000,43.3619458000
15,Hamilton Guesthouse,"158 Mary Street, Hamilton, L8L 4V8",289-440-8035,,Hamilton.guesthouse@gmail.com,289-440-8035,http://hamiltonguesthouse.ca/,Hamilton Guesthouse offers quality accommodation for budget travelers and students near the downtown core of Hamilton and close to many of the city's major attractions and to public transport. Guests can stay in a 6 bed co-ed dorm or in a private double room,Accommodations,-79.8618609000,43.2596237000
16,Hamilton West Guest House,"110 Leland Street, Hamilton, L8S 3A2",905-923-9254,,Zhazem@hotmail.com,905-923-9254,http://www.booking.com/hotel/ca/mcmaster-guest-house-b-amp-b.html,"HWGH offers a bed rooms (no meals) with quality and friendly accommodation for budget travelers and students, its located 6 minutes walking to McMaster University and Hospital, close to many of the city's major attractions and to public transport. This Hamilton property provides free WiFi in all rooms. BBQ facilities and a well-tended garden are on-site.",Accommodations,-79.9247228000,43.2525374000
